title,authors,year,conference,link
Scalable Vision Transformers with Hierarchical Pooling.,"['Zizheng Pan', 'Bohan Zhuang', 'Jing Liu', 'Haoyu He', 'Jianfei Cai']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00043
Vision Transformer with Progressive Sampling.,"['Xiaoyu Yue', 'Shuyang Sun', 'Zhanghui Kuang', 'Meng Wei', 'Philip H. S. Torr', 'Wayne Zhang', 'Dahua Lin']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00044
Generic Attention-model Explainability for Interpreting Bi-Modal and Encoder-Decoder Transformers.,"['Hila Chefer', 'Shir Gur', 'Lior Wolf']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00045
Learning Canonical View Representation for 3D Shape Recognition with Arbitrary Views.,"['Xin Wei', 'Yifei Gong', 'Fudong Wang', 'Xing Sun', 'Jian Sun']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00046
MosaicOS: A Simple and Effective Use of Object-Centric Images for Long-Tailed Object Detection.,"['Cheng Zhang', 'Tai-Yu Pan', 'Yandong Li', 'Hexiang Hu', 'Dong Xuan', 'Soravit Changpinyo', 'Boqing Gong', 'Wei-Lun Chao']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00047
"Towers of Babel: Combining Images, Language, and 3D Geometry for Learning Multimodal Vision.","['Xiaoshi Wu', 'Hadar Averbuch-Elor', 'Jin Sun', 'Noah Snavely']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00048
Virtual Multi-Modality Self-Supervised Foreground Matting for Human-Object Interaction.,"['Bo Xu', 'Han Huang', 'Cheng Lu', 'Ziwen Li', 'Yandong Guo']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00049
An Asynchronous Kalman Filter for Hybrid Event Cameras.,"['Ziwei Wang', 'Yonhon Ng', 'Cedric Scheerlinck', 'Robert E. Mahony']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00050
Amplitude-Phase Recombination: Rethinking Robustness of Convolutional Neural Networks in Frequency Domain.,"['Guangyao Chen', 'Peixi Peng', 'Li Ma', 'Jia Li', 'Lin Du', 'Yonghong Tian']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00051
MicroNet: Improving Image Recognition with Extremely Low FLOPs.,"['Yunsheng Li', 'Yinpeng Chen', 'Xiyang Dai', 'Dongdong Chen', 'Mengchen Liu', 'Lu Yuan', 'Zicheng Liu', 'Lei Zhang', 'Nuno Vasconcelos']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00052
Group-wise Inhibition based Feature Regularization for Robust Classification.,"['Haozhe Liu', 'Haoqian Wu', 'Weicheng Xie', 'Feng Liu', 'Linlin Shen']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00053
Exploration and Estimation for Model Compression.,"['Yanfu Zhang', 'Shangqian Gao', 'Heng Huang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00054
Learning to Resize Images for Computer Vision Tasks.,"['Hossein Talebi', 'Peyman Milanfar']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00055
Learning Meta-class Memory for Few-Shot Semantic Segmentation.,"['Zhonghua Wu', 'Xiangxi Shi', 'Guosheng Lin', 'Jianfei Cai']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00056
Aggregation with Feature Detection.,"['Shuyang Sun', 'Xiaoyu Yue', 'Xiaojuan Qi', 'Wanli Ouyang', 'Victor Prisacariu', 'Philip H. S. Torr']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00057
Continual Learning on Noisy Data Streams via Self-Purified Replay.,"['Chris Dongjoo Kim', 'Jinseo Jeong', 'Sangwoo Moon', 'Gunhee Kim']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00058
Point Cloud Augmentation with Weighted Local Transformations.,"['Sihyeon Kim', 'Sanghyeok Lee', 'Dasol Hwang', 'Jaewon Lee', 'Seong Jae Hwang', 'Hyunwoo J. Kim']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00059
Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet.,"['Li Yuan', 'Yunpeng Chen', 'Tao Wang', 'Weihao Yu', 'Yujun Shi', 'Zihang Jiang', 'Francis E. H. Tay', 'Jiashi Feng', 'Shuicheng Yan']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00060
Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction without Convolutions.,"['Wenhai Wang', 'Enze Xie', 'Xiang Li', 'Deng-Ping Fan', 'Kaitao Song', 'Ding Liang', 'Tong Lu', 'Ping Luo', 'Ling Shao']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00061
Incorporating Convolution Designs into Visual Transformers.,"['Kun Yuan', 'Shaopeng Guo', 'Ziwei Liu', 'Aojun Zhou', 'Fengwei Yu', 'Wei Wu']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00062
Visformer: The Vision-friendly Transformer.,"['Zhengsu Chen', 'Lingxi Xie', 'Jianwei Niu', 'Xuefeng Liu', 'Longhui Wei', 'Qi Tian']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00063
Visual Transformers: Where Do Transformers Really Belong in Vision Models?,"['Bichen Wu', 'Chenfeng Xu', 'Xiaoliang Dai', 'Alvin Wan', 'Peizhao Zhang', 'Zhicheng Yan', 'Masayoshi Tomizuka', 'Joseph Gonzalez', 'Kurt Keutzer', 'Peter Vajda']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00064
Joint Representation Learning and Novel Category Discovery on Single- and Multi-modal Data.,"['Xuhui Jia', 'Kai Han', 'Yukun Zhu', 'Bradley Green']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00065
Stochastic Partial Swap: Enhanced Model Generalization and Interpretability for Fine-grained Recognition.,"['Shaoli Huang', 'Xinchao Wang', 'Dacheng Tao']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00066
Self Supervision to Distillation for Long-Tailed Visual Recognition.,"['Tianhao Li', 'Limin Wang', 'Gangshan Wu']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00067
Semantic Diversity Learning for Zero-Shot Multi-label Classification.,"['Avi Ben-Cohen', 'Nadav Zamir', 'Emanuel Ben Baruch', 'Itamar Friedman', 'Lihi Zelnik-Manor']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00068
Shallow Bayesian Meta Learning for Real-World Few-Shot Recognition.,"['Xueting Zhang', 'Debin Meng', 'Henry Gouk', 'Timothy M. Hospedales']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00069
Adversarial Attacks are Reversible with Natural Supervision.,"['Chengzhi Mao', 'Mia Chiquier', 'Hao Wang', 'Junfeng Yang', 'Carl Vondrick']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00070
Architecture Disentanglement for Deep Neural Networks.,"['Jie Hu', 'Liujuan Cao', 'Tong Tong', 'Qixiang Ye', 'Shengchuan Zhang', 'Ke Li', 'Feiyue Huang', 'Ling Shao', 'Rongrong Ji']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00071
Exploiting Explanations for Model Inversion Attacks.,"['Xuejun Zhao', 'Wencan Zhang', 'Xiaokui Xiao', 'Brian Y. Lim']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00072
