title,authors,year,conference,link
Towards Robust Gan-Generated Image Detection: A Multi-View Completion Representation.,"['Chi Liu', 'Tianqing Zhu', 'Sheng Shen', 'Wanlei Zhou']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/52
Explanation-Guided Reward Alignment.,"['Saaduddin Mahmud', 'Sandhya Saisubramanian', 'Shlomo Zilberstein']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/53
Adversarial Behavior Exclusion for Safe Reinforcement Learning.,"['Md Asifur Rahman', 'Tongtong Liu', 'Sarra M. Alqahtani']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/54
"FEAMOE: Fair, Explainable and Adaptive Mixture of Experts.","['Shubham Sharma', 'Jette Henderson', 'Joydeep Ghosh']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/55
"SF-PATE: Scalable, Fair, and Private Aggregation of Teacher Ensembles.","['Cuong Tran', 'Keyu Zhu', 'Ferdinando Fioretto', 'Pascal Van Hentenryck']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/56
On the Fairness Impacts of Private Ensembles Models.,"['Cuong Tran', 'Ferdinando Fioretto']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/57
Statistically Significant Concept-based Explanation of Image Classifiers via Model Knockoffs.,"['Kaiwen Xu', 'Kazuto Fukuchi', 'Youhei Akimoto', 'Jun Sakuma']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/58
On Adversarial Robustness of Demographic Fairness in Face Attribute Recognition.,"['Huimin Zeng', 'Zhenrui Yue', 'Lanyu Shang', 'Yang Zhang', 'Dong Wang']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/59
Towards Semantics- and Domain-Aware Adversarial Attacks.,"['Jianping Zhang', 'Yung-Chieh Huang', 'Weibin Wu', 'Michael R. Lyu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/60
Tracking Different Ant Species: An Unsupervised Domain Adaptation Framework and a Dataset for Multi-object Tracking.,"['Chamath Abeysinghe', 'Chris Reid', 'Hamid Rezatofighi', 'Bernd Meyer']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/61
RaSa: Relation and Sensitivity Aware Representation Learning for Text-based Person Search.,"['Yang Bai', 'Min Cao', 'Daming Gao', 'Ziqiang Cao', 'Chen Chen', 'Zhenfeng Fan', 'Liqiang Nie', 'Min Zhang']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/62
A Novel Learnable Interpolation Approach for Scale-Arbitrary Image Super-Resolution.,"['Jiahao Chao', 'Zhou Zhou', 'Hongfan Gao', 'Jiali Gong', 'Zhenbing Zeng', 'Zhengfeng Yang']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/63
MMPN: Multi-supervised Mask Protection Network for Pansharpening.,"['Changjie Chen', 'Yong Yang', 'Shuying Huang', 'Wei Tu', 'Weiguo Wan', 'Shengna Wei']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/64
